"date","journal","name","url"
"2012-09-10","PLOS One","BSim: An Agent-Based Tool for Modeling Bacterial Populations in Systems and Synthetic Biology","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0042790"
"2012-08-24","APS Physical Review E","Taxonomies of networks from community structure","https://journals.aps.org/pre/abstract/10.1103/PhysRevE.86.036104"
