Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1062945,"The Invention of the White Race: Racial Oppression and Social Control, Volume 1",Theodore W. Allen,"Allen, Theodore W.",,"=""086091660X""","=""9780860916604""",0,4.29,Verso,Paperback,310,1994,1994,,2019/04/05,to-read,to-read (#98),to-read,,,,0,0
6919721,The History of White People,Nell Irvin Painter,"Painter, Nell Irvin",,"=""0393049345""","=""9780393049343""",0,4.07,W. W. Norton & Company,Hardcover,512,2010,2010,,2019/04/05,to-read,to-read (#97),to-read,,,,0,0
639864,Autobiography of a Yogi,Paramahansa Yogananda,"Yogananda, Paramahansa",,"=""0876120834""","=""9780876120835""",0,4.25,Self-Realization Fellowship,Paperback,503,2000,1946,,2019/04/04,to-read,to-read (#96),to-read,,,,0,0
8582180,In an Unspoken Voice: How the Body Releases Trauma and Restores Goodness,Peter A. Levine,"Levine, Peter A.",Gabor Maté,"=""1556439431""","=""9781556439438""",0,4.34,North Atlantic Books,Paperback,384,2010,2010,,2019/03/28,to-read,to-read (#95),to-read,,,,0,0
35556466,"Oppression and the Body: Roots, Resistance, and Resolutions",Christine Caldwell,"Caldwell, Christine",Lucia Bennett Leighton,"=""1623172020""","=""9781623172022""",0,4.25,North Atlantic Books,Kindle Edition,248,2018,2018,,2019/03/16,to-read,to-read (#94),to-read,,,,0,0
177135,Integral Spirituality,Ken Wilber,"Wilber, Ken",,"=""1590303466""","=""9781590303467""",0,3.81,Shambhala,Hardcover,240,2006,2006,,2019/03/14,to-read,to-read (#93),to-read,,,,0,0
177139,"Integral Psychology: Consciousness, Spirit, Psychology, Therapy",Ken Wilber,"Wilber, Ken",,"=""1570625549""","=""9781570625541""",0,4.18,Shambhala,Paperback,320,2000,1999,,2019/03/14,to-read,to-read (#92),to-read,,,,0,0
177175,Grace & Grit: Spirituality & Healing in the Life & Death of Treya Killam Wilber,Ken Wilber,"Wilber, Ken",,"=""1570627428""","=""9781570627422""",0,4.47,Shambhala,Paperback,413,2001,1991,,2019/03/14,to-read,to-read (#91),to-read,,,,0,0
66354,Flow: The Psychology of Optimal Experience,Mihály Csíkszentmihályi,"Csíkszentmihályi, Mihály",,"=""""","=""""",0,4.11,Harper Perennial,Paperback,303,1990,1990,,2019/03/10,to-read,to-read (#90),to-read,,,,0,0
536524,"World as Lover, World as Self",Joanna Macy,"Macy, Joanna",,"=""0938077279""","=""9780938077275""",0,4.30,Parallax Press,Paperback,252,1991,1991,,2019/03/03,to-read,to-read (#89),to-read,,,,0,0
